id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salário janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-20,CLI001,debito,abc,Erro de sistema,compra
4,2026-02-03,,debito,200.00,Sem cliente,transferencia
5,2026-02-14,CLI003,credito,15000.00,Transferência suspeita,transferencia
6,2026-02-18,CLI002,debito,320.00,Conta de luz,conta
7,2026-03-01,CLI001,credito,3500.00,Salário março,salario
8,2026-03-10,CLI003,debito,99.90,Streaming,assinatura
9,2026-01-25,CLI001,debito,450.00,Aluguel,moradia
10,2026-01-30,CLI003,debito,75.00,Farmácia,saude
11,2026-02-08,CLI002,credito,4200.00,Salário fevereiro,salario
12,2026-02-22,CLI001,debito,890.00,Compras online,compra
13,2026-03-15,CLI002,debito,1250.00,Notebook,compra
14,2026-04-05,CLI001,credito,3500.00,Salário abril,salario
15,2026-04-12,CLI003,debito,210.00,Restaurante,alimentacao
16,2026-04-20,CLI002,credito,12000.00,Bônus anual,salario
17,2026-04-28,CLI001,debito,55.00,Streaming,assinatura
18,2026-13-01,CLI002,debito,100.00,Data inválida,compra
19,2026-02-10,CLI001,entrada,500.00,Tipo inválido,compra
20,2026-03-05,CLI002,debito,0,Valor zero,compra
21,xyz,2026-03-06,CLI003,credito,200.00,ID inválido,salario
22,2026-03-07,CLI001,credito,-50.00,Valor negativo,salario
